Address,Latitude,Longitude,Storey_Range,Lease_Commence,Resale_Price
405 SIN MING AVE,1.36285292193017,103.834739503381,22 TO 24,1986,738000
442 SIN MING AVE,1.35923575652593,103.832368846087,13 TO 15,1990,705000
127 BISHAN ST 12,1.34607589409491,103.851694780512,04 TO 06,1986,735000
103 BISHAN ST 12,1.34551249132107,103.848314162387,07 TO 09,1986,730000
166 BISHAN ST 13,1.34886345078256,103.855225779214,07 TO 09,1987,725000
158 BISHAN ST 13,1.34653526211207,103.856208219158,19 TO 21,1988,728000
167 BISHAN ST 13,1.34800341123897,103.855395747158,01 TO 03,1988,630000
179 BISHAN ST 13,1.34860831209996,103.851843334947,07 TO 09,1987,760000
165 BISHAN ST 13,1.34919822860492,103.856194448527,13 TO 15,1988,778000
203 BISHAN ST 23,1.35453674224835,103.847451973086,10 TO 12,1992,850000
223 BISHAN ST 23,1.35846190127052,103.848248660015,01 TO 03,1992,818000
273B BISHAN ST 24,1.35607299328815,103.843470177697,28 TO 30,2011,1080000
273B BISHAN ST 24,1.35607299328815,103.843470177697,16 TO 18,2011,990000
275A BISHAN ST 24,1.35673539047079,103.843519752733,22 TO 24,2011,1000000
312 SHUNFU RD,1.35120461586183,103.838716846527,04 TO 06,1985,750000
310 SHUNFU RD,1.35085167873466,103.838679123356,10 TO 12,1984,711000
310 SHUNFU RD,1.35085167873466,103.838679123356,01 TO 03,1984,708000
442 SIN MING AVE,1.35923575652593,103.832368846087,16 TO 18,1990,730000
408 SIN MING AVE,1.36334651886141,103.834839633876,22 TO 24,1986,718000
405 SIN MING AVE,1.36285292193017,103.834739503381,19 TO 21,1986,750000
453 SIN MING AVE,1.35904538127017,103.829898490029,04 TO 06,1990,720000
22 SIN MING RD,1.35728444108241,103.839396679952,04 TO 06,1973,515000
136 BISHAN ST 12,1.34413413892599,103.851740462088,04 TO 06,1987,610000
168 BISHAN ST 13,1.34731870376584,103.854162127782,01 TO 03,1986,665000
158 BISHAN ST 13,1.34653526211207,103.856208219158,07 TO 09,1988,760000
156 BISHAN ST 13,1.34532332600275,103.856581140233,04 TO 06,1988,710000
190 BISHAN ST 13,1.35055492734247,103.852044535915,01 TO 03,1987,680000
190 BISHAN ST 13,1.35055492734247,103.852044535915,01 TO 03,1987,695000
156 BISHAN ST 13,1.34532332600275,103.856581140233,01 TO 03,1988,590000
196 BISHAN ST 13,1.34816798486428,103.850312170279,01 TO 03,1987,748000
250 BISHAN ST 22,1.36161481914452,103.843937148209,04 TO 06,1992,745000
255 BISHAN ST 22,1.36166448826499,103.842753070079,10 TO 12,1992,780000
275A BISHAN ST 24,1.35673539047079,103.843519752733,34 TO 36,2011,1076000
273B BISHAN ST 24,1.35607299328815,103.843470177697,01 TO 03,2011,857500
303 SHUNFU RD,1.34976942860989,103.83847650474,10 TO 12,1985,720000
